game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,category,compilation,designer,expansion,mechanic,publisher,average_rating,users_rated
1371,4,90,10,2,90,Mustangs,90,1991,"Aviation / Flight,Wargame,World War II",,S. Craig Taylor,Mustangs Expansion Module,"Hex-and-Counter,Simultaneous Action Selection",Avalon Hill,6.48128,235
1372,8,20,12,2,20,Rise of the Luftwaffe,20,1993,"Aviation / Flight,Card Game,Wargame,World War II",,"Gene Billingsley,Rodger B. MacGowan,Dan Verssen","Down in Flames Squadron Pack 1: Fighters,Down in Flames Squadron Pack 2: Bombers,Down in Flames: Air Umbrella Over Dunkirk,Down in Flames: Arab-Israeli War 1948-'49,Down In Flames: Kuban Bridgehead,Down in Flames: Operation Leader 1943,Down In Flames: Poland 1939,Down in Flames: The Netherlands East Indies,Down In Flames: Winter War 1939-40,Eighth Air Force,The Flying Tigers,Guerra Civil Española: Expansión no oficial para The Rise of the Luftwaffe,Khalkin-Gol: 1939,Malta Under Siege: 1940-1942,Operation Pedestal: Malta Convoy, August 1942,Twilight of the Luftwaffe",Campaign / Battle Card Driven,GMT Games,7.0705,473
1373,2,240,12,2,240,Midway,240,1991,"Nautical,Wargame,World War II",,S. Craig Taylor,,"Hex-and-Counter,Secret Unit Deployment",Avalon Hill,6.37939,148
1375,2,240,10,2,240,Guadalcanal,240,1992,"Nautical,Wargame,World War II",,S. Craig Taylor,,"Hex-and-Counter,Secret Unit Deployment",Avalon Hill,6.35176,142
1376,6,30,10,3,30,Don,30,2001,"Card Game,Mafia",,Michael Schacht,,"Auction/Bidding,Set Collection","Queen Games,ABACUSSPIELE,Asmodee,Igiari",6.19367,1052
1377,5,30,8,3,30,Danger,30,2001,Card Game,"Mückenstich, Danger, Zwickern","Thorsten Löpmann,Andreas Wetter",,Set Collection,Queen Games,4.28058,103
1378,6,45,10,3,45,Odysseus,45,2001,"Ancient,Exploration,Mythology,Nautical,Transportation",,Dominique Ehrhard,,Variable Player Powers,Jumbo,5.77157,197
1379,2,45,10,1,30,Ebbe & Flut,45,2000,"Abstract Strategy,Card Game",,Wolfgang Werner,,Grid Movement,Adlung-Spiele,6.48406,457
1380,6,45,12,2,45,Jockey,45,1973,"Animals,Racing,Sports",,S. Spencer,,Betting/Wagering,"Berliner Spielkarten,Buchclub,Grow Jogos e Brinquedos,Hallmark Games,Otto Maier Verlag,Ravensburger Spieleverlag GmbH",6.3,293
1381,6,45,7,2,45,Pokémon Master Trainer,45,1999,"Adventure,Card Game,Children's Game,Fantasy,Movies / TV / Radio theme,Video Game Theme",,"Koichi Ooyama,Bill Sabram",,"Roll / Spin and Move,Set Collection","Estrela,Hasbro,MB Spellen,MB Spiele,Milton Bradley,Tomy",5.663,746
1382,6,60,10,2,45,Winner's Circle,60,2001,"Animals,Racing,Sports",,Reiner Knizia,,"Betting/Wagering,Roll / Spin and Move","alea,DiceTree Games,Ediciones MasQueOca,Face2Face Games,Group SNE,Ravensburger Spieleverlag GmbH,Smart Ltd",6.96328,4131
1383,6,10,6,2,10,Ab in den Pool!,10,1999,,,Heinz Meister,,Memory,Ravensburger Spieleverlag GmbH,5.84107,56
1387,4,60,12,2,60,Alaska,60,1979,Transportation,,Eric Solomon,,"Pick-up and Deliver,Tile Placement","Educa Sallent SA,Grow Jogos e Brinquedos,Otto Maier Verlag,Ravensburger Spieleverlag GmbH",5.82068,307
1390,6,60,12,2,60,Auf Kurs,60,1987,"Abstract Strategy,Nautical,Racing",,Reinhold Wittig,,"Action Point Allowance System,Point to Point Movement","Blatz,Edition Perlhuhn (Göttinger Spiele),KOSMOS",5.97404,104
1396,6,90,10,2,90,Ben Hur,90,1987,"Ancient,Racing",,Jean du Poël,,,"Fagus,Historien Spiele Galerie (Historien Spielegalerie)",6.61742,66
1397,5,20,6,2,20,Crash Pilot,20,1999,"Aviation / Flight,Children's Game,Real-time",,Reinhard Staupe,,Pattern Recognition,"AMIGO Spiel + Freizeit GmbH,Card World,Gamewright",5.42653,98
1398,4,120,16,2,90,Chicago,120,1986,"Fighting,Mafia",,H. Jean Vanaise,,"Area Control / Area Influence,Area Movement","Flying Turtle Games,Ravensburger Spieleverlag GmbH",5.37566,152
1400,5,60,10,2,60,Columbus,60,1991,"Exploration,Nautical,Renaissance",,Marius Mayer,,Roll / Spin and Move,"Schmidt France,Schmidt Spiele,Selecta Spel en Hobby",5.7,54
1402,6,40,10,2,40,Neolithibum,40,1991,"Action / Dexterity,Party Game,Prehistoric",,"Harald Bilz,Peter Gutbrod",,Simultaneous Action Selection,Heidelberger Spieleverlag,5.88052,154
1403,5,30,10,3,30,Turn the Tide,30,1997,Card Game,,Stefan Dorra,,"Hand Management,Simultaneous Action Selection","AMIGO Spiel + Freizeit GmbH,Berliner Spielkarten,Dal Negro,F.X. Schmid,Gamewright,Kikigagne?,Lifestyle Boardgames Ltd,Mercurio,Nürnberger-Spielkarten-Verlag,Oya,PS-Games,Swan Panasia Co., Ltd.,Wargames Club Publishing",6.81023,3136
1404,8,45,10,4,45,Strand-Cup,45,2000,"Card Game,Sports",,Mark Sienholz,,Partnerships,Krimsus Krimskrams-Kiste,6.14626,187
1405,6,90,12,2,90,Adventurer,90,1980,"Fighting,Science Fiction",,"T. O'Neill,G. Petronis",,"Action / Movement Programming,Simultaneous Action Selection",Yaquinto,6.06944,72
1407,4,30,10,2,30,Alcatraz,30,1999,Abstract Strategy,,Bernhard Weber,,,"F.X. Schmid,The Toy Company Argentina S.R.L.",5.47269,227
1408,6,120,12,2,120,Gammarauders,120,1987,"Science Fiction,Wargame",,"Jeff Grubb,Allen Varney",Gammarauders: Revenge of the Factoids,"Dice Rolling,Modular Board",TSR,5.77956,377
1410,4,45,4,2,45,Trouble,45,1965,"Children's Game,Dice,Racing",Miscellaneous Game Compilation,"Frank Kohner,Paul Kohner,Fred Kroll",,Roll / Spin and Move,"(Unknown),Amuze,The Canadian Group,Cardinal,Cayro Juegos,Danawares,Dourios,Egmont Litas,Falcon Games (I),Feva (UK) Ltd.,Fundex,Gabriel,Grafix Travel Games,Hasbro,Humbert & Brandt GmbH,IRWIN Games,Kohner Bros.,MB Giochi,Milton Bradley,Mountains China Co. Ltd.,Nelospelit,Pavilion,Peliko,Peter Pan Playthings,Pressman Toy Corp.,Spear's Games,Tactic,Tiimari,Winning Moves Games (USA)",3.70991,2168
1411,6,360,12,2,360,"Fugger, Welser, Medici",360,1994,"Economic,Medieval,Negotiation,Political",,"Doris Matthäus,Frank Nestel",,"Auction/Bidding,Commodity Speculation,Pick-up and Deliver,Trading",Doris & Frank,6.3082,61
1412,5,20,8,2,20,Trendy,20,2000,Card Game,,Reiner Knizia,,Set Collection,"Ravensburger Spieleverlag GmbH,Spiel Spass",6.18502,479
1413,2,30,12,2,30,Attack Sub,30,1991,"Card Game,Modern Warfare,Nautical,Wargame",,Courtney F. Allen,,Campaign / Battle Card Driven,Avalon Hill,6.5187,423
1414,8,120,10,1,120,Decathlon,120,1972,"Dice,Sports",,"Richard Cohen,Elliott Denman,Thomas N. Shaw",,Dice Rolling,"Avalon Hill,Sports Illustrated,Time Life",5.27398,113
1416,4,30,10,2,30,Meridian,30,2001,Abstract Strategy,,Leo Colovini,,"Area Control / Area Influence,Tile Placement","Piatnik,Rio Grande Games,Venice Connection",6.04254,369
1417,10,45,10,3,30,Alibi,45,1993,"Card Game,Deduction,Murder/Mystery",,"Darwin Bromley,Jim Musser",,"Set Collection,Trading",Mayfair Games,5.4277,610
1419,2,10,8,2,10,Pylos,10,1994,Abstract Strategy,,David G. Royffe,,,"Ericsson,Fundex,Gigamic,Great American Trading Company,Mitra",6.29662,1137
1420,4,20,8,2,20,Monopoly Express,20,1991,"Dice,Economic",,"Garrett J. Donner,Michael S. Steer",,"Dice Rolling,Press Your Luck,Set Collection","Hasbro,Parker Brothers,Tonka Corporation,Waddington's Games, Inc.",5.69524,740
1421,2,10,10,2,10,Lost Worlds,10,1983,"Book,Fantasy,Fighting,Medieval",,"C. Calhoun,William Fortin,Dennis Greci,Alfred Leonardi,Mary Leonardi,Nancy Loomis,Hal McKinney,Michael Stackpole",Lost Worlds Fantasy Cards,"Rock-Paper-Scissors,Simultaneous Action Selection,Variable Player Powers","1% Inspiration Games, Inc.,Chessex,Flying Buffalo, Inc. (FBI),Greysea Games,Nova Game Designs,SoftBank Corp.",6.48276,417
1422,4,90,10,2,90,Wadjet,90,1996,"Adventure,Ancient,Deduction,Exploration",,Dee Pomerleau,,"Hand Management,Paper-and-Pencil,Roll / Spin and Move",Timbuk II,3.86743,206
1423,2,300,12,2,300,Storm over Arnhem,300,1981,"Wargame,World War II",,Courtney F. Allen,,"Area Movement,Area-Impulse",Avalon Hill,7.16655,757
1425,1,180,12,1,180,Raid on St. Nazaire,180,1987,"Wargame,World War II",,"Robert G. Markham,Mark Seaman",,Point to Point Movement,Avalon Hill,7.07834,659
1426,2,30,10,2,30,Lord of the Rings: The Search,30,2001,"Adventure,Exploration,Fantasy,Novel-based",,Peter Neugebauer,,"Modular Board,Tile Placement","999 Games,Devir,Kaissa Chess & Games,KOSMOS,Laser plus,Midgaard Games,Rio Grande Games,Tilsit",5.04903,952
1428,6,30,9,2,30,Image,30,1971,"Card Game,Party Game,Trivia",,Henry Szwarce,,,"3M,Avalon Hill",4.8128,164
1430,4,360,12,2,360,Caesar at Alesia,360,1976,"Ancient,Wargame",,Robert Bradley,,"Dice Rolling,Hex-and-Counter","(Self-Published),Avalon Hill",7.09421,523
1431,2,120,12,2,120,War at Sea (second edition),120,1976,"Nautical,Wargame,World War II",,John Edwards,"Victory at Sea,War at Sea 2","Area Movement,Dice Rolling",Avalon Hill,6.41467,866
1433,6,60,10,2,60,Der grosse Gallier,60,2001,"Bluffing,Sports",,"Wolfgang Kramer,Udo Nawratil",,Auction/Bidding,Clementoni,5.45583,60
1434,5,45,8,3,45,Dealer's Choice,45,1972,"Economic,Negotiation,Transportation",,(Uncredited),,"Auction/Bidding,Commodity Speculation","Miro Company,Parker Brothers",5.82396,240
1435,4,90,10,2,90,4000 A.D.,90,1972,"Science Fiction,Wargame",,Earl Doherty,,"Partnerships,Secret Unit Deployment","Parker Brothers,Waddington's Games, Inc.",5.36203,345
1436,4,60,9,2,60,Billionaire,60,1973,Economic,,Marvin Glass,,Auction/Bidding,Parker Brothers,5.18775,249
1437,4,45,8,2,45,Trust Me,45,1981,"Bluffing,Economic",,"G. W. ""Jerry"" D'Arcey,Rich D'Arcey",,"Betting/Wagering,Commodity Speculation,Stock Holding","Miro Company,Parker Brothers",4.99286,105
1439,6,20,5,1,20,Penguin Pile-Up,20,1996,"Action / Dexterity,Animals,Children's Game",,Seven Towns,,"Area Movement,Pattern Building","Fundex,Ravensburger Spieleverlag GmbH,Swan Panasia Co., Ltd.",5.18541,353
1442,2,300,12,2,300,Victory in the Pacific,300,1977,"Nautical,Wargame,World War II",,Richard Hamblen,"Hell in the Pacific: Plan Orange 1931 and 1935,Victory at Sea,VITP variant: Story of the Eight-Eight fleet","Area Control / Area Influence,Area Movement,Dice Rolling",Avalon Hill,7.16876,1042
1443,6,30,10,2,30,Alpha Blitz,30,1998,"Card Game,Word Game",,Mike Selinker,,Simultaneous Action Selection,Wizards of the Coast,5.07143,77
1444,2,240,13,2,240,SPQR,240,1992,"Ancient,Wargame",,"Richard H. Berg,Mark Herman","Africanus: SPQR Module,Alexander the Great in Italy,Barbarian: SPQR Module,The Battle of Castulo, 221 B.C.,The Battle of Dertosa 215 B.C.,The Battle of Telamon, 225 B.C.,The Battle of the Tagus River,Caralis: The Battle for Sardinia, 215 B.C,Consul for Rome: SPQR Module,Equus: Cavalry Battles of the Second Punic War, 218-203 B.C.,The Hammer of God: Judea vs. the Seleucids, 167-160 B.C.,Jugurtha: Caesar and SPQR Module,Mago: Youngest of the Lion's Brood,Marcus Claudius Marcellus: The Sword of Rome,Pyrrhic Victory: SPQR Module,Pyrrhus in Sicily: Epirus versus Carthage, 278-275 B.C.,Simple GBoH,Simple GBoH Battle Manual,Sophonisba and the Battle of the Great Plains: SPQR Module,SPQR Player's Guide,The Truceless War,War Elephant: SPQR Module",Hex-and-Counter,"GMT Games,Oriflam",7.36664,423
1445,6,60,7,2,60,Canasta Caliente,60,2000,Card Game,,Phil Orbanes Sr.,,Set Collection,"Hasbro,Parker Brothers,Winning Moves Games (USA)",6.3383,680
1446,4,45,7,2,45,Cheater,45,1995,Card Game,,Darrell Simmons,,Set Collection,"Awesome Games,Endless Games (I)",4.04167,174
1447,8,300,14,2,300,1841,300,1994,"Economic,Trains,Transportation",,"Manlio Manzini,Federico Vellani",,"Route/Network Building,Stock Holding,Tile Placement","Chris Lawson,Deep Thought Games, LLC",7.74272,180
1448,5,90,10,2,90,Freight Train,90,1993,"Card Game,Trains",,Alan R. Moon,,Set Collection,"Mayfair Games,White Wind",6.40324,494
1449,4,30,12,2,30,Kings Cribbage,30,1997,Abstract Strategy,,Gary Crowley,,"Hand Management,Tile Placement","CoCoCo,Weekend Farmer Company,Winning Moves Games (USA)",6.49643,196
1450,6,45,10,2,45,Jagd der Vampire,45,1991,"Fantasy,Medieval",,"Dario de Toffoli,Walter Obert,Alex Randolph",,,"Otto Maier Verlag,Ravensburger Spieleverlag GmbH",5.34091,110
1452,6,60,10,2,60,Mhing,60,1982,Card Game,,Robert Sun,,Set Collection,"Alga,Gelber Marketing,Gogny-Goubert,Jumbo,National Mah Jongg League, Inc.,Piatnik,Selchow & Righter,Spear's Games,Suntex,Ventura Games",6.6457,565
1459,6,10,10,2,10,Sharp Shooters,10,1994,Dice,,"Jeffrey Breslow,Howard J. Morrison,Rouben Terzian",,"Dice Rolling,Press Your Luck","F.X. Schmid,Hasbro,Milton Bradley,Parker Brothers,Ravensburger Spieleverlag GmbH",6.43257,1032
1460,4,30,8,2,30,Earthquake,30,1998,Card Game,,Mike Elliott,,,Wizards of the Coast,5.74685,195
1463,4,30,10,2,30,Girl Genius: The Works,30,2001,Card Game,,"James Ernest,Phil Foglio",,Modular Board,"Cheapass Games,Studio Foglio",6.04399,667
1464,6,20,7,2,20,Duo,20,1986,Card Game,,Maureen Hiron,,,"Ravensburger Spieleverlag GmbH,U.S. Games Systems, Inc.,The United States Playing Card Company",5.24427,96
1465,6,45,10,3,45,Wizard,45,1984,Card Game,,Ken Fisher,"Brettspiel Adventskalender 2015,Wizard: The Christmas Wizards","Betting/Wagering,Hand Management,Trick-taking","(Unknown),999 Games,AMIGO Spiel + Freizeit GmbH,Canada Games,Copag - Cia. Paulista de Artes Gráficas,Dino,Fantasmagoria,Gigamic,K. Fisher Enterprises Ltd.,KADABRA,Kaissa Chess & Games,Laser plus,Lautapelit.fi,Modiano,Morapiaf,Piatnik,Swan Panasia Co., Ltd.,U.S. Games Systems, Inc.,The United States Playing Card Company,Zvezda",6.8876,5383
1467,4,20,10,2,20,Abduction,20,1998,"Adventure,Card Game,Fighting,Maze,Science Fiction",,George Vasilakos,,"Modular Board,Variable Player Powers",Eden Studios,5.28024,253
1468,12,45,16,2,45,Anybody's Guess,45,1990,"Party Game,Trivia",,(Uncredited),,,Golden,5.78148,97
1470,4,60,10,2,60,Venezia,60,2001,"Card Game,Travel",,Ronald Hofstätter,,"Area Control / Area Influence,Simultaneous Action Selection",Queen Games,5.848,200
1471,5,120,12,2,120,Gangsters,120,1992,"Fighting,Mafia,Real-time",,"Don Greenwood,Gérard Mathieu",,Action Point Allowance System,Avalon Hill,6.24807,285
1472,7,30,8,2,30,Five Crowns,30,1996,Card Game,,Marsha J. Falco,,"Hand Management,Set Collection","999 Games,AMIGO Spiel + Freizeit GmbH,Nordic Games GmbH,Set Enterprises, Inc.",5.83739,1451
1473,2,240,12,1,240,Barbarians,240,1994,"Ancient,Wargame",,Keith Poulter,,Hex-and-Counter,KP Games,5.35541,74
1474,5,30,12,2,30,Ohio,30,1998,Card Game,,Reiner Knizia,,Trick-taking,Jumbo,5.86116,95
1475,6,60,8,2,60,Careers,60,1955,Economic,"Spaß am Erfolg: Karriere, Das Millionenspiel, Risiko",James Cooke Brown,,"Roll / Spin and Move,Variable Player Powers","(Unknown),Alga,Carlit,Clipper,Editrice Giochi,Estrela,Gibsons Games,Hasbro,Holdsworth Thos & Sons,IRWIN Games,John Waddington Ltd.,Juegos Crone,Jumbo,Majora,Manhattan Agencies,Miro Company,N.V. Smeets & Schippers Amsterdam,Parker Brothers,Parker Spiele,Pressman Toy Corp.,Schmidt Spiele,Smeets & Schippers,Tiger Electronics,Winning Moves Games (USA)",5.76275,1853
1477,7,300,14,2,300,Days of Decision II,300,1994,"Political,Wargame",,Harry Rowland,,Area-Impulse,Australian Design Group,6.20433,104
1480,5,180,12,1,180,Imperator,180,1990,"Ancient,Civilization,Economic,Political,Wargame",,William L. Banks,,Area Movement,3W (World Wide Wargames),5.30581,86
1482,4,60,12,2,60,Ubi,60,1986,Trivia,,"Scott Abbot,Chris Haney",,,"Horn Abbot Ltd.,San Serif Print Promotions Ltd (Serif),Selchow & Righter",5.30401,282
1484,4,30,10,2,30,Clue: The Great Museum Caper,30,1991,"Children's Game,Deduction",,"John LaBelle,Thomas Rabideau,Dave Rabideau",,"Partnerships,Secret Unit Deployment","Parker Brothers,Waddington's Games, Inc.",6.71156,1223
1488,6,30,0,3,30,Trailer Park Gods,30,1998,Card Game,,"Eric Kriser,Chuck Wilhelm",,Take That,Placebo Press,4.67358,53
1489,8,60,12,2,60,Deadwood Studios USA,60,1999,"American West,Dice,Economic,Humor,Movies / TV / Radio theme,Print & Play",,"James Ernest,Rick Fish","Another Day, Another Dollar: Horror,Another Day, Another Dollar: Kung Fu,Another Day, Another Dollar: Musicals,Another Day, Another Dollar: Space,Deadwood: On Location","Area Movement,Dice Rolling,Hand Management","Cheapass Games,Truant Spiele",5.8974,780
1491,9,150,12,2,150,Outpost,150,1991,"Economic,Science Fiction",,"James Hlavaty,Timothy Moore",,Auction/Bidding,"Stronghold Games,TimJim Games",6.8304,1043
1493,6,180,12,3,180,1853,180,1989,"Economic,Trains,Transportation",,Francis Tresham,"MIK 1 Extension Kit for 1853,MIK 2 Extension Kit for 1853","Route/Network Building,Stock Holding,Tile Placement","Hartland Trefoil Ltd.,Lookout Games,Mayfair Games",6.99245,384
1496,6,240,16,1,240,Imperium Romanum II,240,1985,"Ancient,Wargame",,Albert A. Nofi,,"Dice Rolling,Hex-and-Counter,Simulation",West End Games,6.56713,499
1497,4,60,8,2,60,Dino Hunt,60,1996,"Card Game,Collectible Components,Prehistoric",,Steve Jackson (I),,Action Point Allowance System,"Pegasus Spiele,Steve Jackson Games",5.25048,313
1498,2,90,11,1,60,Paydirt,90,1970,"Dice,Sports",,"David S. Neft,Dr. Thomas Nicely",,"Dice Rolling,Simulation","(Self-Published),Avalon Hill,Sports Illustrated",6.86738,377
1499,7,6000,12,2,120,World in Flames,6000,1985,"Wargame,World War II",World in Flames Deluxe Edition,"Greg Pinder,Harry Rowland","Africa Aflame,Asia Aflame,Carrier Planes in Flames,Commandoes in Flames,Convoys in Flames,Cruisers in Flames,Factories in Flames,Fatal Alliances,Fatal Alliances II,Khaki in Flames,Leaders In Flames,Mech In Flames,Planes in Flames,Politics in Flames,Ships in Flames,World in Flames Map Pack,World in Flames Millennium Annual,World in Flames: 2008 Annual,World in Flames: 93 Annual,World in Flames: 94/95 Annual,World in Flames: 98 Annual","Area Movement,Dice Rolling,Hex-and-Counter",Australian Design Group,7.50574,1162
1501,6,60,8,3,60,Masterpiece,60,1970,"Bluffing,Negotiation",,"Marvin Glass,Christian Thee",,Auction/Bidding,"Borras Plana S.A.,Clipper,Estrela,Hasbro,Majora,Miro Company,Nilco S.A.,Parker Brothers,Smart Games, Inc.,Toltoys",5.54284,1306
1502,4,60,8,2,60,Hotel Tycoon,60,1974,Economic,,Denys Fisher,,Roll / Spin and Move,"AS Company,Asmodee,Asterion Press,Broadway Toys LTD,Denys Fisher Toys,Flair Games,Funskool Games,Gém Klub Kft.,Hasbro,MB Giochi,MB Juegos,MB peli,MB Spellen,MB Spiele,Milton Bradley,MindTrap Games, Inc.,Nilco S.A.,Parker Brothers,Tsukuda Hobby / Original",5.40042,2172
1503,6,120,12,2,120,Mid-East Peace,120,1990,"Arabian,Bluffing,Modern Warfare,Negotiation,Wargame",,"Tom Dalgliesh,David Kowan",,"Area-Impulse,Secret Unit Deployment",Columbia Games,5.04673,107
1504,4,60,9,2,60,Bakschisch,60,1995,"Adventure,Arabian",,"Fritz Gruber,Kara Ben Hering,Wolfgang Lüdtke,Reiner Müller,Peter Neugebauer,Klaus Teuber",,"Auction/Bidding,Simultaneous Action Selection",Goldsieber Spiele,5.71122,107
1506,4,360,12,1,360,Conquistador,360,1976,"Economic,Exploration,Political,Renaissance,Wargame",,Richard H. Berg,,"Dice Rolling,Hex-and-Counter","Avalon Hill,SPI (Simulations Publications, Inc.)",6.42344,526
1508,2,45,10,2,45,Broadside,45,1962,"Miniatures,Nautical,Wargame",,(Uncredited),,,"John Sands Pty Ltd,Milton Bradley",6.07683,341
1509,4,45,10,2,45,Dogfight,45,1962,"Aviation / Flight,Wargame,World War I",,(Uncredited),,"Hand Management,Roll / Spin and Move","Milton Bradley,Takara",6.26277,364
1510,6,90,12,2,90,Class Struggle,90,1978,"Educational,Political",,Bertell Ollman,,,"Avalon Hill,Class Struggle, Inc.,Didacta,Metracon,Mondadori Giochi",4.83109,162
1511,4,30,10,1,30,Outdoor Survival,30,1972,"Adventure,Exploration",,Jim Dunnigan,,"Dice Rolling,Hex-and-Counter,Roll / Spin and Move,Simulation",Avalon Hill,4.60933,848
1512,6,60,10,2,60,Hexagony,60,1977,"Abstract Strategy,Wargame",,Ken Hodkinson,,Dice Rolling,"Avalon Hill,Kenterprises,Taoist Arts, Inc.",5.82075,133
1513,6,300,14,1,300,The Republic of Rome,300,1990,"Ancient,Negotiation,Political,Wargame",,"Richard Berthold,Don Greenwood,Robert Haines","Empire of Rome 27 BC - 284 AD,The Republic of Carthage","Dice Rolling,Hand Management,Simulation,Variable Player Powers,Voting","Avalon Hill,Descartes Editeur,Edge Entertainment,Phalanx Games Deutschland,Valley Games, Inc.,Wargames Club Publishing",7.54994,3365
1514,2,20,8,2,20,Yali,20,1996,"Abstract Strategy,Action / Dexterity",,Claus A. Harttung,,Point to Point Movement,Jumbo,5.28337,144
1515,4,90,8,2,90,Upwords,90,1981,Word Game,,Elliot Rudell,,"Hand Management,Tile Placement","CEFA (Celulosa Fabril S. A.),Hasbro,MB Jeux,MB Spellen,Milton Bradley,Parker Brothers,Winning Moves Games (USA)",5.67674,2212
1516,33,120,10,2,120,USAC Auto Racing,120,1979,"Racing,Sports",,Jim Barnes,,Roll / Spin and Move,"Avalon Hill,Midwest Research,Sports Illustrated",5.82279,176
1517,4,45,10,1,45,Ani-Mayhem,45,1996,"Card Game,Collectible Components,Exploration,Fighting",,"Jon Healy,Keith Pinster,Josh Ritter",,"Modular Board,Pick-up and Deliver",Pioneer,5.08229,96
1518,6,90,12,2,90,Executive Decision,90,1971,"Economic,Industry / Manufacturing,Math,Negotiation",,"(Uncredited),Sid Sackson",,"Auction/Bidding,Commodity Speculation,Simultaneous Action Selection,Trading","3M,AS Manufacturas,Avalon Hill,University Games",6.03633,362
1519,99,45,14,2,45,Kult,45,1995,"Card Game,Collectible Components,Fighting,Horror,Mature / Adult",,Bryan Winter,,Variable Player Powers,"Heartbreaker,Target Games,Wydawnictwo MAG",6.70274,186
1520,4,60,10,2,45,Monad,60,1969,Card Game,,Sid Sackson,,Set Collection,"3M,Eagle-Gryphon Games,Hexagames (I),Salagames",6.33359,365
1522,8,120,10,2,120,Get Out,120,1998,Economic,,James Ernest,,,Cheapass Games,5.52489,235
1524,2,30,10,2,30,Fight City,30,1999,Card Game,,James Ernest,,,Cheapass Games,5.47854,178
1525,2,60,12,2,60,Dixie: Bull Run,60,1994,"American Civil War,Card Game,Collectible Components,Dice,Wargame",,Tom Dalgliesh,,"Area Control / Area Influence,Area Movement,Dice Rolling,Hand Management,Secret Unit Deployment",Columbia Games,6.24761,335
1527,8,60,10,2,60,Bitin' Off Hedz,60,1996,"Prehistoric,Racing",,James Ernest,,"Roll / Spin and Move,Variable Player Powers",Cheapass Games,4.59156,454
1528,50,30,10,2,30,Chief Herman's Holiday Fun Pack,30,2000,,,James Ernest,,,Cheapass Games,5.79737,152
1530,2,30,12,2,30,Dark Age: Feudal Lords,30,1996,"Card Game,Collectible Components,Fighting",,Luke Peterschmidt,,,FPG,6.14576,92
1531,10,45,10,2,45,Ritter ohne Furcht und Tadel,45,1998,"Dice,Fighting,Medieval",,Hartmut Witt,,Betting/Wagering,Eurogames,4.29688,64
1533,5,60,8,2,60,Ghost Chase,60,2001,"Children's Game,Deduction,Exploration",,Kai Haferkamp,,"Partnerships,Secret Unit Deployment","999 Games,AMIGO Spiel + Freizeit GmbH,Rio Grande Games",6.21442,378
1534,5,45,10,2,45,Jump!,45,1998,Aviation / Flight,,"Michael Kiesling,Wolfgang Kramer",,Simultaneous Action Selection,Editrice Giochi,5.22785,79
1535,6,120,10,2,30,Formula-1,120,1962,"Racing,Sports",,"John Howarth,Trevor Jones",,Area Movement,"Alga,Brohm-Parker-Spiele,Istituto Del Gioco (IDG),Majora,Miro Company,Parker Brothers,Schmidt Spiele,Smeets & Schippers,Tofa,Waddington's Games, Inc.",6.66385,477
1536,8,45,12,3,45,Lord of the Fries,45,1998,"Card Game,Zombies",,James Ernest,,"Auction/Bidding,Dice Rolling,Hand Management,Set Collection","Cheapass Games,Steve Jackson Games,Truant Spiele",5.96773,1473
1537,2,360,10,1,360,C&O/B&O,360,1969,"Trains,Transportation",,Thomas N. Shaw,,Pick-up and Deliver,Avalon Hill,5.36695,59
